YearMonth,Total
2021-01,3.402222222222222
2021-02,3.4076041666666668
2021-03,3.460873786407767
2021-04,3.4878095238095237
2021-05,3.5714285714285716
2021-06,3.440537634408602
2021-07,3.4846
2021-08,3.556636363636364
2021-09,3.5286734693877553
2021-10,3.4156043956043955
2021-11,3.374375
2021-12,3.5720689655172415
2022-01,3.5021568627450983
2022-02,3.5386956521739132
2022-03,3.383181818181818
2022-04,3.3626373626373627
2022-05,3.5636036036036036
2022-06,3.466701030927835
2022-07,3.4455555555555555
2022-08,3.428854166666667
2022-09,3.519252336448598
2022-10,3.440309278350515
2022-11,3.46953488372093
2022-12,3.615238095238095
2023-01,3.4452884615384614
2023-02,3.475618556701031
2023-03,3.457196261682243
2023-04,3.483172043010753
2023-05,3.4882173913043477
2023-06,3.4677439024390244
2023-07,3.4774122807017545
2023-08,3.483505747126437
2023-09,3.4528
2023-10,3.490719041278296
2023-11,3.459719626168224
